ticker,RMSE,R2,MAPE
AYR,0.434305803,0.86310164,1.485809999
AZN,0.506811416,0.98038096,1.08256188
AZO,14.16282406,0.969201237,1.477194972
AZPN,1.217708269,0.993859901,1.200830381
AZZ,1.247678763,0.957755654,1.69972183
B,1.089140619,0.973910635,1.333013004
BA,5.385778874,0.994726985,1.229154862
BABA,4.596927371,0.797037208,1.919806369
BABY,0.940174856,0.89598877,1.873125892
BAC,0.448881605,0.98353934,1.294198714
BAF,0.072613008,0.976041651,0.397933989
BAH,0.715299305,0.972813944,1.189192817
BAK,0.734610198,0.961357468,2.23215614
BAM,0.512300987,0.970341271,0.982943138
BANC,0.452194334,0.908225809,1.705088981
BANF,0.9695705,0.973629984,1.443791218
BANFP,0.702378935,0.663498127,1.678772764
BANR,0.88381274,0.928831828,1.209251098
BANX,0.236634737,0.961872065,0.798413927
BAP,3.171053347,0.988349831,1.167245379
BAS,24.60129716,0.906155492,7.51995581
BASI,0.093417651,0.942678077,4.03809235
BATRA,0.361420485,0.939280685,1.16934191
BATRK,0.355417519,0.936589059,1.13457548
BAX,0.804348256,0.991614191,0.929156251
BB,0.318719184,0.968944006,2.037847558
BBBY,0.819889439,0.990112517,2.225719591
BBC,0.703790389,0.895834219,1.772653693
BBD,0.26904858,0.965548541,2.15465039
BBDO,0.316870368,0.962399704,2.758638791
BBF,0.08449336,0.976600651,0.468232785
BBGI,0.551304659,0.904467552,3.978521695
BBH,1.595809877,0.94589307,0.978845311
BBK,0.075018282,0.964831318,0.394945752
BBL,0.831139849,0.978408612,1.716865101
BBN,0.138253564,0.960569693,0.490341866
BBOX,0.34961895,0.992434475,5.125321083
BBP,0.743666491,0.858274387,1.404236338
BBSI,2.08988957,0.976256607,1.929096645
BBT,0.697299296,0.973170458,1.088593538
BBU,0.902762041,0.797345523,1.745978705
BBVA,0.148465863,0.968537273,1.50770705
BBW,0.365326985,0.954987009,2.571218617
BBX,0.161488397,0.986524572,1.518829148
BBY,1.44750149,0.985212696,1.706274994
BC,1.228453313,0.922113625,1.515051606
BCBP,0.218924658,0.942378186,1.090597372
BCC,0.764082427,0.980319322,1.551196257
BCE,0.364109643,0.966568688,0.666885314
BCEI,3.440217916,0.532285018,4.008145529
BCH,1.506819826,0.98360869,1.27098208
BCLI,0.151148444,0.931527629,2.823512069
BCO,1.565137915,0.986053835,1.512802851
BCOM,0.686565919,0.973392631,3.431339832
BCOR,0.695551517,0.989961923,1.751349415
BCOV,0.232467562,0.965691309,1.988526401
BCPC,1.281611554,0.973377266,1.166998234
BCRH,0.344500878,0.952354629,1.884673897
BCRX,0.30046916,0.901476,3.679415309
BCS,0.196543122,0.913656975,1.388173318
BCX,0.097724331,0.980601632,0.888539553
BDC,1.724656613,0.946199575,1.76103931
BDGE,0.592908316,0.893650359,1.361828886
